timestamp,price,size,exchange,condition1,condition2,condition3,condition4
2019-06-21 12:30:00.037000-04:00,199.91,1,11,37,0,0,0
2019-06-21 12:30:00.762000-04:00,199.9,100,11,14,41,0,0
2019-06-21 12:30:00.762000-04:00,199.9,100,19,0,0,0,0
2019-06-21 12:30:00.762000-04:00,199.9,146,12,14,41,0,0
2019-06-21 12:30:00.762000-04:00,199.9,100,12,0,0,0,0
2019-06-21 12:30:00.762000-04:00,199.9,77,12,14,37,41,0
2019-06-21 12:30:00.762000-04:00,199.9,77,12,37,0,0,0
2019-06-21 12:30:00.853000-04:00,199.8999,30,4,37,0,0,0
2019-06-21 12:30:01.501000-04:00,199.897,50,4,37,0,0,0
2019-06-21 12:30:01.671000-04:00,199.895,104,4,0,0,0,0
2019-06-21 12:30:02.374000-04:00,199.8999,2,4,37,0,0,0
2019-06-21 12:30:02.482000-04:00,199.89,41,19,14,37,41,0
2019-06-21 12:30:02.482000-04:00,199.89,59,19,14,37,41,0
2019-06-21 12:30:02.482000-04:00,199.89,100,12,0,0,0,0
2019-06-21 12:30:02.482000-04:00,199.89,100,12,0,0,0,0
2019-06-21 12:30:03.112000-04:00,199.88,100,19,14,41,0,0
2019-06-21 12:30:03.112000-04:00,199.88,100,12,14,41,0,0
2019-06-21 12:30:03.353000-04:00,199.89,1,4,37,0,0,0
2019-06-21 12:30:03.861000-04:00,199.88,100,4,0,0,0,0
2019-06-21 12:30:04.771000-04:00,199.88,10,12,37,0,0,0
2019-06-21 12:30:05.336000-04:00,199.88,100,4,0,0,0,0
2019-06-21 12:30:05.456000-04:00,199.87,5,8,14,37,41,0
2019-06-21 12:30:05.456000-04:00,199.88,100,12,14,41,0,0
2019-06-21 12:30:06.191000-04:00,199.875,73,4,37,0,0,0
2019-06-21 12:30:06.395000-04:00,199.8701,1,4,37,0,0,0
2019-06-21 12:30:06.550000-04:00,199.87,2,12,37,0,0,0
2019-06-21 12:30:06.550000-04:00,199.87,98,12,37,0,0,0
2019-06-21 12:30:06.550000-04:00,199.87,2,12,14,37,41,0
2019-06-21 12:30:06.551000-04:00,199.8701,400,4,0,0,0,0
2019-06-21 12:30:06.631000-04:00,199.86,40,18,14,37,41,0
2019-06-21 12:30:06.631000-04:00,199.86,60,19,14,37,41,0
2019-06-21 12:30:07.395000-04:00,199.86,100,15,0,0,0,0
2019-06-21 12:30:07.395000-04:00,199.86,39,15,37,0,0,0
2019-06-21 12:30:07.395000-04:00,199.86,100,11,14,41,0,0
2019-06-21 12:30:07.395000-04:00,199.86,100,12,14,41,0,0
2019-06-21 12:30:07.395000-04:00,199.86,100,12,14,41,0,0
2019-06-21 12:30:07.418000-04:00,199.8699,1,4,37,0,0,0
2019-06-21 12:30:07.430000-04:00,199.86,100,4,0,0,0,0
2019-06-21 12:30:07.432000-04:00,199.86,140,19,14,41,0,0
2019-06-21 12:30:07.432000-04:00,199.86,100,19,14,41,0,0
2019-06-21 12:30:07.432000-04:00,199.86,100,12,14,41,0,0
2019-06-21 12:30:07.432000-04:00,199.86,100,12,14,41,0,0
2019-06-21 12:30:07.432000-04:00,199.86,96,12,37,0,0,0
2019-06-21 12:30:07.432000-04:00,199.86,4,12,37,0,0,0
2019-06-21 12:30:07.433000-04:00,199.85,37,8,14,37,41,0
2019-06-21 12:30:07.433000-04:00,199.86,5,8,37,0,0,0
2019-06-21 12:30:07.433000-04:00,199.86,100,8,0,0,0,0
2019-06-21 12:30:07.433000-04:00,199.86,100,19,0,0,0,0
2019-06-21 12:30:07.550000-04:00,199.8638,10,4,37,0,0,0
2019-06-21 12:30:07.612000-04:00,199.8638,200,4,0,0,0,0
2019-06-21 12:30:08.710000-04:00,199.8639,5,4,37,0,0,0
2019-06-21 12:30:08.808000-04:00,199.8629,2,4,37,0,0,0
2019-06-21 12:30:08.918000-04:00,199.8629,1,4,10,37,41,0
2019-06-21 12:30:09.571000-04:00,199.8699,1,4,37,0,0,0
2019-06-21 12:30:10.564000-04:00,199.8603,25,4,37,0,0,0
2019-06-21 12:30:11.342000-04:00,199.87,63,19,14,37,41,0
2019-06-21 12:30:11.342000-04:00,199.87,100,12,14,41,0,0
2019-06-21 12:30:11.342000-04:00,199.87,100,12,14,41,0,0
2019-06-21 12:30:11.343000-04:00,199.88,200,10,14,41,0,0
2019-06-21 12:30:11.347000-04:00,199.88,100,12,0,0,0,0
2019-06-21 12:30:11.348000-04:00,199.88,100,8,0,0,0,0
2019-06-21 12:30:11.363000-04:00,199.88,116,4,0,0,0,0
2019-06-21 12:30:11.412000-04:00,199.8855,460,4,0,0,0,0
2019-06-21 12:30:11.720000-04:00,199.89,50,8,37,0,0,0
2019-06-21 12:30:11.720000-04:00,199.89,10,19,37,0,0,0
2019-06-21 12:30:12.133000-04:00,199.9,100,18,14,41,0,0
2019-06-21 12:30:12.133000-04:00,199.9,100,15,0,0,0,0
2019-06-21 12:30:12.340000-04:00,199.8957,15,4,37,0,0,0
2019-06-21 12:30:12.389000-04:00,199.894,1,4,37,0,0,0
2019-06-21 12:30:12.573000-04:00,199.8925,500,4,0,0,0,0
2019-06-21 12:30:12.989000-04:00,199.8999,1,4,37,0,0,0
2019-06-21 12:30:13.122000-04:00,199.8938,40,4,37,0,0,0
2019-06-21 12:30:13.671000-04:00,199.89,80,19,14,37,41,0
2019-06-21 12:30:13.671000-04:00,199.89,20,19,14,37,41,0
2019-06-21 12:30:13.671000-04:00,199.89,100,12,14,41,0,0
2019-06-21 12:30:13.671000-04:00,199.89,100,12,14,41,0,0
2019-06-21 12:30:13.671000-04:00,199.89,100,12,14,41,0,0
2019-06-21 12:30:13.672000-04:00,199.89,100,11,14,41,0,0
2019-06-21 12:30:13.860000-04:00,199.89,50,19,37,0,0,0
2019-06-21 12:30:14.241000-04:00,199.8827,20,4,37,0,0,0
2019-06-21 12:30:15.071000-04:00,199.91,1,4,37,0,0,0
2019-06-21 12:30:15.791000-04:00,199.89,50,4,37,0,0,0
2019-06-21 12:30:16.892000-04:00,199.89,40,19,14,37,41,0
2019-06-21 12:30:17.186000-04:00,199.89,9,12,14,37,41,0
2019-06-21 12:30:17.187000-04:00,199.89,100,15,0,0,0,0
2019-06-21 12:30:17.187000-04:00,199.89,100,15,0,0,0,0
2019-06-21 12:30:17.295000-04:00,199.89,100,12,14,41,0,0
2019-06-21 12:30:17.295000-04:00,199.89,100,12,14,41,0,0
2019-06-21 12:30:17.302000-04:00,199.88,1,15,37,0,0,0
2019-06-21 12:30:17.372000-04:00,199.88,127,4,0,0,0,0
